model,variant,enc,params,flops_per_forecast,flops_fwd_total,n_forecasts,peak_mem_GB,analytic_rnn_topup,analytic_fft_topup,analytic_ssd_topup,analytic_attn_topup,one_time_setup_flops,param_only_uncounted,blind_modules,status,local_flops_per_forecast,local_vs_box
lstm,aca_2d,onehot,931842,63419618.82381095,1908106071552,30087,22.948,1135746220032,0,,,0,,,ok,,
lstm,aca_2d_id,embeddings,730542,40287458.82381095,1212128773632,30087,17.378,1135746220032,0,,,0,,,ok,,
lstm,aca_2d_id,onehot,933634,63419618.82381095,1908106071552,30087,22.965,1135746220032,0,,,0,,,ok,,
lstm,aca_3d,embeddings,637190,38743331.761890516,1165670622720,30087,17.024,1135746220032,0,,,0,,,ok,38743332,same
lstm,aca_3d,onehot,637186,38743331.761890516,1165670622720,30087,17.023,1135746220032,0,,,0,,,ok,,
lstm,aca_3d_id,embeddings,810886,38743331.761890516,1165670622720,30087,17.042,1135746220032,0,,,0,,,ok,,
lstm,aca_3d_id,onehot,810882,38743331.761890516,1165670622720,30087,17.041,1135746220032,0,,,0,,,ok,,
lstm,aca_4d,embeddings,685826,40203957.03021239,1209616455168,30087,17.910,1135746220032,0,,,0,,,ok,40203957,same
lstm,aca_4d,onehot,685826,40203957.03021239,1209616455168,30087,17.909,1135746220032,0,,,0,,,ok,,
lstm,aca_4d_id,embeddings,859778,40203957.03021239,1209616455168,30087,17.927,1135746220032,0,,,0,,,ok,,
lstm,aca_4d_id,onehot,859778,40203957.03021239,1209616455168,30087,17.926,1135746220032,0,,,0,,,ok,,
lstm,asa_2d,embeddings,728750,44798888.54801077,1347864159744,30087,20.061,1135746220032,0,,,0,,,ok,44798889,same
lstm,asa_2d,onehot,931842,67931048.54801077,2043841457664,30087,25.649,1135746220032,0,,,0,,,ok,,
lstm,asa_2d_id,embeddings,730542,44798888.54801077,1347864159744,30087,20.076,1135746220032,0,,,0,,,ok,,
lstm,asa_2d_id,onehot,933634,67931048.54801077,2043841457664,30087,25.663,1135746220032,0,,,0,,,ok,,
lstm,asa_3d,embeddings,637446,78538805.75770266,2362997048832,30087,30.423,1135746220032,0,,,0,,,ok,78538806,same
lstm,asa_3d,onehot,637442,78538805.75770266,2362997048832,30087,30.422,1135746220032,0,,,0,,,ok,,
lstm,asa_3d_id,embeddings,811142,78538805.75770266,2362997048832,30087,30.438,1135746220032,0,,,0,,,ok,,
lstm,asa_3d_id,onehot,811138,78538805.75770266,2362997048832,30087,30.437,1135746220032,0,,,0,,,ok,,
